region_id,Persons_Total_Has_need_for_assistance,Persons_Total_Does_not_have_need_for_assistance,Persons_Total_Need_for_assistance_not_stated,Persons_Total_Total
1103918,18,455,38,511
1103919,26,344,24,394
1103920,10,459,44,513
1103921,10,462,171,643
1103922,6,517,20,543
1103923,12,239,13,264
1103924,26,152,10,188
1103925,9,392,24,425
1103926,13,443,46,502
1103927,3,425,24,452
1104001,19,309,9,337
1104002,23,238,24,285
1104003,12,303,12,327
1104004,18,416,15,449
1104005,15,298,8,321
1104006,40,430,23,493
1104007,20,273,15,308
1104008,0,0,0,0
1104009,35,405,31,471
1104010,24,245,14,283
1104011,24,295,19,338
1104012,13,259,15,287
1104013,24,476,15,515
1104014,26,244,295,565
1104015,12,169,21,202
1104016,18,434,61,513
1104017,52,517,30,599
1104018,28,407,17,452
1104019,17,382,18,417
1104020,33,352,25,410
1104021,16,350,31,397
1104022,17,216,9,242
1104023,9,257,21,287
1104024,33,447,40,520
1104025,16,250,18,284
1104026,32,488,67,587
1104027,33,232,4,269
1104028,12,356,3,371
1104029,31,351,9,391
1104030,8,295,30,333
1104031,19,297,34,350
1104032,20,171,23,214
1104033,21,336,9,366
1104034,30,456,10,496
1104035,14,275,15,304
1104036,13,313,6,332
1104037,24,246,15,285
1104038,15,295,10,320
1104039,42,543,27,612
1104040,15,328,31,374
1104041,13,256,18,287
1104042,20,309,25,354
1104043,37,456,36,529
1104044,15,267,21,303
1104045,21,396,44,461
1104046,32,396,24,452
1104047,24,406,15,445
1104048,27,434,12,473
1104049,24,382,31,437
1104050,21,320,24,365
1104051,21,389,30,440
1104052,15,344,18,377
1104053,30,454,25,509
1104054,5,302,32,339
1104055,18,508,17,543
1104056,16,366,9,391
1104057,24,543,32,599
1104058,9,318,12,339
1104101,21,406,24,451
1104102,23,583,14,620
1104103,6,365,15,386
1104104,16,396,22,434
1104105,6,331,21,358
1104106,15,352,29,396
1104107,9,207,7,223
1104108,0,0,0,0
1104109,14,337,37,388
1104110,21,438,15,474
1104111,0,232,11,243
1104112,12,398,24,434
1104113,12,331,0,343
1104114,18,530,40,588
1104115,6,300,18,324
1104116,4,401,0,405
1104117,4,234,4,242
1104118,0,0,0,0
1104119,5,398,27,430
1104120,9,393,18,420
1104121,20,347,0,367
1104122,15,260,16,291
1104123,9,365,21,395
1104124,15,391,17,423
1104125,6,425,33,464
1104201,42,404,27,473
1104202,37,450,21,508
1104203,15,269,12,296
1104204,40,331,34,405
1104205,42,394,49,485
1104206,0,0,0,0
1104207,14,484,31,529
1104208,36,411,37,484
1104209,25,198,20,243
1104210,12,388,42,442
1104211,11,358,55,424
1104212,0,7,3,10
1104213,46,519,28,593
1104214,21,466,24,511
1104215,22,318,21,361
1104216,16,302,21,339
1104217,35,363,33,431
1104218,21,402,9,432
1104219,26,302,35,363
1104220,37,417,44,498
1104221,39,407,49,495
1104222,27,344,34,405
1104223,109,209,25,343
1104224,22,439,24,485
1104225,24,439,21,484
1104226,15,404,8,427
1104227,15,308,12,335
1104228,25,406,3,434
1104229,17,259,25,301
1104230,28,365,14,407
1104231,142,402,18,562
1104232,31,287,15,333
1104233,34,370,19,423
1104301,7,126,9,142
1104302,17,341,3,361
1104303,33,463,12,508
1104304,13,348,16,377
1104305,9,344,14,367
1104306,0,7,0,7
1104307,6,269,9,284
1104308,16,237,3,256
1104309,12,341,25,378
1104310,0,183,5,188
1104311,21,410,16,447
1104312,209,567,36,812
1104313,42,296,67,405
